ID_Azenta,ID_inHouse,Library,Mother_ID,Sex,Stage,O_allele,Stage_group,Group
A-238,G1_0238,A-238-LFB4843,G0_037,f,S4,a,larva3,f_larva3_a
A-338,G1_0338,A-338-LFB4830,G0_041,f,S4,a,larva3,f_larva3_a
A-403,G1_0403,A-403-LFB4870,G0_041,f,S4,a,larva3,f_larva3_a
A-661,G1_0661,A-661-LFC0840,G0_045,f,S4,a,larva3,f_larva3_a
O-180,G1_0180,O-180-LFB4811,G0_032,f,S4,o,larva3,f_larva3_o
O-193,G1_0193,O-193-LFB4833,G0_032,f,S4,o,larva3,f_larva3_o
O-211,G1_0211,O-211-LFB4836,G0_032,f,S4,o,larva3,f_larva3_o
O-746,G1_0746,O-746-LFB4826,G0_048,f,S4,o,larva3,f_larva3_o
A-510,G1_0510,A-510-LFC0841,G0_043,f,S3,a,larva2,f_larva2_a
A-580,G1_0580,A-580-LFC0845,G0_045,f,S3,a,larva2,f_larva2_a
A-663,G1_0663,A-663-LFC0839,G0_045,f,S3,a,larva2,f_larva2_a
A-692,G1_0692,A-692-LFC0847,G0_045,f,S3,a,larva2,f_larva2_a
O-154,G1_0154,O-154-LFB4835,G0_032,f,S3,o,larva2,f_larva2_o
O-750,G1_0750,O-750-LFB4834,G0_048,f,S3,o,larva2,f_larva2_o
O-802,G1_0802,O-802-LFB4841,G0_048,f,S3,o,larva2,f_larva2_o
O-850,G1_0850,O-850-LFC0842,G0_048,f,S3,o,larva2,f_larva2_o
A-308,G1_0308,A-308-LFB4861,G0_037,f,S1,a,larva1,f_larva1_a
A-465,G1_0465,A-465-LFC0853,G0_043,f,S1,a,larva1,f_larva1_a
A-603,G1_0603,A-603-LFC0850,G0_045,f,S1,a,larva1,f_larva1_a
A-636,G1_0636,A-636-LFC0844,G0_045,f,S1,a,larva1,f_larva1_a
A-673,G1_0673,A-673-LFC0848,G0_045,f,S1,a,larva1,f_larva1_a
O-755,G1_0755,O-755-LFB4863,G0_048,f,S1,o,larva1,f_larva1_o
O-804,G1_0804,O-804-LFB4855,G0_048,f,S1,o,larva1,f_larva1_o
A-249,G1_0249,A-249-LFB4825,G0_037,f,S7,a,adult,f_adult_a
A-307,G1_0307,A-307-LFB4804,G0_037,f,S6,a,adult,f_adult_a
A-394,G1_0394,A-394-LFB4822,G0_041,f,S7,a,adult,f_adult_a
A-667,G1_0667,A-667-LFC0836,G0_045,f,S6,a,adult,f_adult_a
A-718,G1_0718,A-718-LFB4837,G0_045,f,S7,a,adult,f_adult_a
O-144,G1_0144,O-144-LFB4812,G0_032,f,S6,o,adult,f_adult_o
O-159,G1_0159,O-159-LFB4819,G0_032,f,S6,o,adult,f_adult_o
O-198,G1_0198,O-198-LFB4831,G0_032,f,S7,o,adult,f_adult_o
O-218,G1_0218,O-218-LFB4845,G0_032,f,S7,o,adult,f_adult_o
O-222,G1_0222,O-222-LFB4838,G0_032,f,S7,o,adult,f_adult_o
O-767,G1_0767,O-767-LFB4813,G0_048,f,S6,o,adult,f_adult_o
O-771,G1_0771,O-771-LFB4809,G0_048,f,S6,o,adult,f_adult_o
O-799,G1_0799,O-799-LFB4827,G0_048,f,S7,o,adult,f_adult_o
A-314,G1_0314,A-314-LFB4840,G0_037,m,S4,a,larva3,m_larva3_a
A-327,G1_0327,A-327-LFB4823,G0_041,m,S4,a,larva3,m_larva3_a
A-342,G1_0342,A-342-LFB4829,G0_041,m,S4,a,larva3,m_larva3_a
A-451,G1_0451,A-451-LFC0843,G0_043,m,S4,a,larva3,m_larva3_a
O-223,G1_0223,O-223-LFB4839,G0_032,m,S4,o,larva3,m_larva3_o
O-773,G1_0773,O-773-LFB4820,G0_048,m,S4,o,larva3,m_larva3_o
O-783,G1_0783,O-783-LFB4818,G0_048,m,S4,o,larva3,m_larva3_o
O-815,G1_0815,O-815-LFB4815,G0_048,m,S4,o,larva3,m_larva3_o
A-253,G1_0253,A-253-LFB4842,G0_037,m,S3,a,larva2,m_larva2_a
A-337,G1_0337,A-337-LFB4828,G0_041,m,S3,a,larva2,m_larva2_a
A-634,G1_0634,A-634-LFB4844,G0_045,m,S3,a,larva2,m_larva2_a
O-145,G1_0145,O-145-LFB4850,G0_032,m,S3,o,larva2,m_larva2_o
O-157,G1_0157,O-157-LFB4807,G0_032,m,S3,o,larva2,m_larva2_o
O-808,G1_0808,O-808-LFB4847,G0_048,m,S3,o,larva2,m_larva2_o
O-829,G1_0829,O-829-LFB4832,G0_048,m,S3,o,larva2,m_larva2_o
O-1128,G1_1128,O-1128-LFB4849,G0_050,m,S1,o,larva1,m_larva1_o
O-742,G1_0742,O-742-LFB4865,G0_048,m,S1,o,larva1,m_larva1_o
O-744,G1_0744,O-744-LFB4814,G0_048,m,S1,o,larva1,m_larva1_o
O-793,G1_0793,O-793-LFB4854,G0_048,m,S1,o,larva1,m_larva1_o
O-851,G1_0851,O-851-LFB4856,G0_048,m,S1,o,larva1,m_larva1_o
A-325,G1_0325,A-325-LFB4817,G0_041,m,S6,a,adult,m_adult_a
A-567,G1_0567,A-567-LFC0837,G0_045,m,S6,a,adult,m_adult_a
A-659,G1_0659,A-659-LFC0838,G0_045,m,S6,a,adult,m_adult_a
O-170,G1_0170,O-170-LFB4810,G0_032,m,S6,o,adult,m_adult_o
O-213,G1_0213,O-213-LFB4821,G0_032,m,S6,o,adult,m_adult_o
O-794,G1_0794,O-794-LFB4808,G0_048,m,S6,o,adult,m_adult_o
